winnerUsername,loserUsername,aiDifficulty,winnerNumOfTurns,loserNumOfTurns
DPar123,Computer,2,39,38
Computer,DPar123,2,51,52
DPar123,Computer,2,34,33
Computer,DPar123,2,51,52
Computer,DPar123,2,43,44
DPar123,Computer,1,51,50
Computer,DPar123,2,45,46
DPar123,Computer,2,40,40
Computer,DPar123,2,28,29
Computer,DPar123,2,30,31
Computer,DPar123,2,54,54
Computer,DPar123,2,50,51
DPar123,Computer,2,42,41
Computer,DPar123,2,42,43
Computer,DPar123,2,49,50
DPar123,Computer,2,43,42
Computer,DPar123,2,27,28
Computer,DPar123,2,18,19
Computer,DPar123,2,45,46
Computer,admin,2,44,44
Computer,DPar123,2,42,42
Computer,DPar123,2,30,30
Computer,DPar123,2,42,42
admin,Computer,2,43,42
Computer,admin,2,55,55
Computer,admin,2,38,38
Computer,admin,2,47,47
admin,Computer,2,37,36
Computer,admin,2,61,61
Computer,admin,2,33,33
Computer,admin,2,34,34
admin,Computer,2,43,42
admin,Computer,2,46,45
admin,Computer,2,51,50
admin,Computer,2,46,45
Computer,admin,2,46,46
Computer,admin,2,43,43
admin,Computer,2,43,42
admin,Computer,2,51,50
Computer,admin,2,46,46
admin,Computer,2,37,36
Computer,admin,2,37,37
Computer,admin,2,44,44
Guest,admin,2,26,26
Computer,admin,2,35,35
Computer,admin,2,34,34
Computer,DPar123,2,39,39
Computer,admin,2,38,38
admin,Computer,2,31,30
Computer,admin,2,39,39
Computer,admin,2,39,39
guest,Computer,2,44,43
Computer,guest,2,44,44
Computer,guest,2,42,42
Computer,guest,2,45,45
Computer,guest,2,44,44
Computer,guest,2,38,38
Computer,guest,2,47,47
Computer,guest,2,51,51
guest,Guest,2,49,48
Computer,guest,2,50,50
Computer,guest,2,45,45
Computer,guest,2,53,53
guest,Computer,2,59,58
Computer,guest,2,59,59
Computer,guest,2,44,44
Computer,guest,2,36,36
guest,Computer,2,46,45
Computer,guest,2,39,39
Computer,guest,2,42,42
Computer,guest,2,46,46
Computer,guest,2,44,44
Computer,guest,2,50,50
Computer,guest,2,33,33
Computer,guest,2,44,44
Computer,guest,2,44,44
Computer,guest,2,49,49
Computer,guest,2,46,46
Computer,guest,2,34,34
guest,Guest,2,39,38
Computer,guest,2,44,44
Computer,guest,2,38,38
guest,Computer,2,33,32
Computer,guest,2,38,38
Computer,guest,2,37,37
guest,Computer,2,35,34
Computer,guest,2,42,42
guest,Computer,2,42,41
Computer,guest,2,42,42
Computer,guest,2,38,38
Computer,guest,2,54,54
Computer,guest,2,38,38
guest,Computer,2,46,45
Computer,guest,2,44,44
guest,Computer,2,41,40
Computer,guest,2,42,42
guest,Computer,2,45,44
Computer,guest,2,43,43
guest,Computer,2,40,39
guest,Computer,2,29,28
guest,Computer,2,50,49
guest,Computer,2,40,39
guest,Computer,2,56,55
Computer,guest,2,40,40
Computer,guest,2,43,43
Computer,guest,2,37,37
guest,Computer,2,39,38
guest,Computer,2,41,40
Computer,guest,2,39,39
Computer,guest,2,34,34
Computer,guest,2,46,46
Computer,guest,2,34,34
Computer,guest,2,47,47
Computer,guest,2,36,36
Computer,guest,2,34,34
guest,Computer,2,46,45
Computer,guest,2,35,35
Computer,guest,2,31,31
guest,Computer,2,39,38
Computer,guest,2,40,40
Computer,guest,2,41,41
Computer,guest,2,36,36
guest,Computer,2,31,30
Computer,guest,2,29,29
guest,Computer,2,32,31
Computer,guest,2,41,41
guest,Computer,2,38,37
guest,Computer,2,49,48
Computer,guest,2,40,40
guest,Computer,2,53,52
Guest,guest,2,45,45
guest,Guest,2,35,34
Computer,guest,2,38,38
Computer,guest,2,46,46
guest,Computer,2,40,39
guest,Computer,2,48,47
Computer,guest,2,53,53
Computer,guest,2,38,38
Computer,guest,2,44,44
Computer,guest,2,46,46
guest,Computer,2,36,35
Computer,guest,2,43,43
